**********************************
LOGGING TIME: 20171031_224008
CLIENT IP: 10.145.130.117
USERNAME: hp pc
OS: Windows 10
*********************Neutral database**********************************
MC, 1, 1507533537187
MM, 8, 14, 32
MM, 2, 13, 41
MM, 33, 13, 32
MM, 16, 13, 31
MM, 9, 14, 17
MM, 33, 17, 39
MM, 29, 17, 24
MM, 24, 17, 17
MM, 21, 17, 23
MM, 20, 17, 32
MM, 19, 17, 16
MM, 17, 17, 24
MC, 1, 232
MM, 16, 17, 48
MM, 14, 17, 72
MM, 10, 19, 8
MM, 29, 31, 25
MM, 28, 11, 23
MM, 45, 26, 24
MM, 31, 0, 129
MM, 30, 0, 87
MM, 28, 0, 16
MM, 21, 0, 16
MM, 8, 3, 16
MM, 0, 5, 16
MM, 37, 8, 24
MM, 27, 11, 16
MM, 15, 14, 24
MM, 12, 14, 8
MM, 11, 14, 16
MM, 10, 14, 39
MM, 7, 14, 10
MM, 41, 16, 15
MM, 20, 16, 24
MM, 16, 16, 16
MM, 14, 16, 16
MC, 1, 336
MM, 14, 15, 48
MM, 13, 14, 41
MM, 10, 13, 15
MM, 8, 12, 16
MM, 5, 11, 16
MM, 41, 6, 24
MM, 31, 3, 16
MM, 29, 3, 8
MM, 28, 1, 24
MM, 27, 1, 8
MM, 26, 1, 16
MM, 22, 0, 24
MM, 4, 29, 16
MM, 34, 22, 24
MM, 33, 22, 8
MM, 32, 22, 112
MM, 32, 21, 24
MM, 30, 21, 8
MM, 29, 20, 15
MM, 28, 19, 17
MC, 1, 192
MM, 29, 19, 56
MM, 33, 19, 16
MM, 39, 19, 16
MM, 2, 19, 24
MM, 12, 19, 16
MM, 21, 19, 16
MM, 16, 20, 79
MM, 2, 21, 32
MM, 6, 21, 16
MM, 7, 21, 9
MM, 9, 21, 16
MM, 34, 17, 48
MM, 0, 14, 23
MM, 2, 13, 16
MM, 3, 13, 9
MM, 4, 13, 32
MM, 5, 13, 16
MM, 8, 12, 16
MM, 14, 12, 16
MM, 25, 11, 16
MM, 36, 10, 8
MM, 4, 10, 16
MM, 13, 10, 16
MM, 17, 10, 16
MM, 18, 10, 40
MM, 19, 10, 23
MM, 22, 9, 16
MM, 23, 9, 32
MM, 24, 9, 8
MM, 27, 9, 8
MM, 36, 9, 16
MM, 41, 9, 8
MM, 5, 9, 17
MM, 17, 9, 15
MM, 19, 9, 17
MM, 20, 9, 79
MM, 21, 9, 8
MM, 22, 9, 16
MM, 23, 10, 17
MM, 24, 10, 8
MM, 25, 10, 8
MM, 25, 11, 24
MM, 26, 11, 9
MM, 28, 12, 39
MM, 31, 12, 8
MM, 35, 12, 16
MM, 40, 13, 8
MM, 6, 14, 16
MM, 10, 14, 8
MM, 11, 14, 16
MM, 11, 15, 160
MM, 10, 15, 16
MM, 8, 15, 96
MM, 7, 15, 16
MM, 6, 15, 24
MM, 4, 15, 23
MM, 3, 15, 9
MM, 43, 21, 23
MM, 38, 24, 8
MM, 23, 0, 25
MM, 10, 9, 16
MM, 43, 22, 24
MM, 38, 24, 8
MM, 34, 27, 16
MM, 28, 31, 16
MM, 204, 0, 31
MM, 197, 5, 16
MM, 194, 6, 9
MM, 189, 8, 16
MM, 180, 13, 16
MM, 175, 14, 8
MM, 171, 17, 16
MC, 1, 240
MM, 171, 16, 32
MM, 172, 14, 8
MM, 172, 13, 8
MM, 174, 11, 16
MM, 178, 8, 16
MM, 188, 4, 16
MM, 194, 1, 8
MM, 17, 31, 16
MM, 29, 26, 16
MM, 35, 20, 8
MM, 0, 10, 31
MM, 2, 8, 8
MM, 5, 6, 16
MM, 6, 5, 8
MM, 8, 3, 16
MM, 10, 1, 17
MM, 11, 1, 8
MM, 21, 31, 40
MM, 24, 28, 8
MM, 27, 27, 16
MM, 30, 27, 16
MM, 34, 26, 16
MM, 40, 24, 8
MM, 4, 21, 16
MM, 10, 19, 16
MM, 14, 17, 16
MM, 15, 17, 16
MM, 16, 17, 32
MC, 1, 248
MM, 15, 17, 8
MM, 13, 15, 24
MM, 10, 15, 16
MM, 2, 12, 16
MM, 42, 10, 16
MM, 22, 10, 23
MM, 5, 11, 16
MM, 34, 14, 16
MM, 11, 14, 17
MM, 33, 14, 15
MM, 20, 12, 9
MM, 36, 10, 23
MM, 20, 10, 16
MM, 17, 10, 9
MM, 16, 10, 7
MM, 15, 10, 25
MM, 14, 10, 8
MM, 10, 10, 16
MM, 39, 10, 16
MM, 24, 10, 8
MM, 2, 10, 16
MM, 32, 8, 16
MM, 23, 7, 16
MM, 22, 7, 7
MM, 21, 7, 24
MM, 20, 6, 24
MM, 19, 6, 16
MM, 18, 5, 8
MM, 17, 4, 17
MM, 17, 3, 23
MM, 17, 2, 16
MM, 17, 1, 8
MC, 1, 457
MM, 43, 4, 297
MM, 41, 5, 23
MM, 39, 7, 25
MM, 37, 9, 23
MM, 36, 10, 16
MM, 36, 11, 57
MM, 36, 12, 31
MM, 35, 12, 64
MC, 1, 232
MM, 37, 12, 80
MM, 3, 12, 40
MM, 12, 13, 24
MM, 20, 13, 32
MM, 26, 13, 33
MM, 32, 14, 24
MM, 39, 14, 23
MM, 0, 15, 33
MM, 3, 15, 15
MM, 5, 15, 32
MM, 5, 16, 40
MM, 6, 16, 8
MM, 7, 16, 48
MC, 1, 169
MM, 7, 18, 112
MM, 13, 31, 23
MM, 23, 13, 16
MM, 31, 0, 41
MM, 35, 5, 23
MM, 36, 5, 41
MM, 37, 6, 159
MM, 37, 8, 17
MM, 38, 8, 6
MM, 38, 9, 26
MM, 39, 11, 31
MM, 40, 14, 24
MM, 41, 14, 88
MC, 1, 168
MM, 42, 11, 24
MM, 48, 4, 16
MM, 31, 24, 24
MM, 15, 12, 24
MM, 14, 31, 64
MM, 34, 27, 23
MM, 3, 26, 16
MM, 40, 23, 32
MM, 0, 21, 26
MM, 14, 18, 22
MM, 21, 15, 32
MM, 24, 14, 32
MM, 26, 14, 25
MM, 6, 7, 40
MM, 29, 2, 24
MM, 30, 31, 263
MM, 27, 28, 24
MM, 23, 27, 25
MM, 22, 27, 16
MM, 21, 27, 32
MM, 20, 26, 16
MM, 18, 25, 24
MM, 18, 24, 24
MM, 17, 24, 32
MC, 1, 216
MM, 16, 24, 24
MM, 14, 24, 32
MM, 13, 24, 15
MM, 4, 25, 49
MM, 32, 29, 25
MM, 19, 0, 39
MM, 31, 4, 24
MM, 7, 6, 24
MM, 24, 7, 33
MM, 46, 6, 40
MM, 29, 4, 39
MC, 1, 896
MM, 34, 1, 232
MM, 30, 3, 15
MM, 29, 4, 25
MM, 28, 4, 16
MM, 28, 5, 24
MM, 27, 5, 24
MM, 26, 6, 16
MM, 25, 6, 112
MM, 25, 7, 377
MM, 26, 7, 47
MM, 27, 7, 49
MM, 28, 8, 15
MM, 30, 8, 17
MM, 33, 9, 16
MM, 36, 10, 32
MM, 0, 15, 31
MM, 25, 22, 24
MM, 7, 3, 144
MM, 30, 5, 24
MM, 1, 5, 24
MM, 17, 2, 24
MM, 38, 31, 32
MM, 1, 27, 24
MM, 2, 26, 24
MM, 3, 26, 56
MM, 4, 26, 16
MM, 6, 27, 31
MM, 10, 28, 16
MM, 11, 29, 25
MM, 12, 29, 39
MM, 13, 29, 10
MM, 17, 31, 31
MM, 26, 0, 200
MM, 26, 3, 25
MM, 25, 5, 15
MM, 23, 6, 17
MM, 23, 7, 31
MM, 23, 8, 96
MM, 23, 10, 23
MM, 23, 11, 16
MM, 23, 12, 96
MC, 1, 105
MM, 22, 12, 15
MM, 21, 11, 24
MM, 20, 11, 17
MM, 19, 10, 31
MM, 18, 10, 16
MM, 13, 10, 32
MM, 8, 10, 17
MM, 41, 13, 31
MM, 23, 15, 24
MM, 11, 15, 25
MM, 10, 15, 16
MM, 9, 15, 33
MM, 6, 15, 24
MM, 36, 13, 23
MM, 8, 12, 25
MM, 43, 11, 175
MM, 41, 11, 24
MM, 40, 10, 16
MM, 39, 10, 64
MM, 38, 10, 16
MM, 37, 10, 16
MM, 35, 10, 32
MM, 31, 10, 32
MC, 1, 248
MM, 31, 9, 40
MM, 32, 8, 24
MM, 33, 7, 16
MM, 42, 3, 32
MM, 1, 1, 16
MM, 27, 31, 39
MM, 33, 30, 16
MM, 3, 25, 33
MM, 25, 20, 23
MM, 46, 16, 24
MM, 5, 13, 32
MM, 8, 11, 17
MM, 10, 10, 32
MM, 26, 0, 32
MM, 15, 31, 104
MM, 19, 29, 24
MM, 30, 27, 32
MM, 31, 27, 40
MM, 32, 27, 32
MM, 33, 27, 33
MM, 34, 27, 16
MM, 35, 27, 32
MM, 36, 27, 32
MM, 0, 25, 271
MM, 1, 25, 32
MC, 1, 248
MM, 2, 25, 168
MM, 5, 25, 24
MM, 29, 26, 24
MM, 21, 28, 33
MM, 22, 28, 7
MM, 23, 29, 137
MM, 24, 29, 16
MM, 24, 30, 48
MM, 25, 31, 23
MM, 8, 0, 96
MM, 9, 5, 24
MM, 9, 6, 8
MM, 9, 7, 32
MM, 10, 8, 41
MM, 11, 12, 23
MM, 16, 23, 32
MM, 17, 25, 8
MM, 16, 25, 129
MM, 15, 25, 32
MM, 14, 24, 49
MM, 14, 23, 22
MM, 13, 21, 25
MM, 12, 20, 55
MM, 12, 18, 25
MM, 11, 17, 288
MM, 10, 17, 7
MM, 9, 16, 49
MM, 7, 16, 40
MM, 7, 15, 32
MM, 6, 15, 295
MM, 5, 15, 40
MM, 4, 15, 16
MM, 2, 15, 24
MM, 0, 15, 16
MM, 43, 17, 47
MM, 41, 19, 25
MM, 38, 21, 24
MM, 35, 22, 15
MM, 32, 26, 26
MM, 27, 30, 23
MM, 25, 0, 56
MM, 22, 5, 24
MM, 18, 12, 16
MM, 11, 19, 25
MM, 6, 23, 23
MM, 2, 25, 16
MM, 0, 26, 16
MM, 42, 31, 56
MM, 209, 1, 56
MM, 202, 3, 16
MM, 201, 4, 8
MM, 199, 5, 16
MM, 198, 5, 24
MM, 197, 5, 48
MM, 193, 5, 16
MM, 191, 5, 15
MM, 189, 6, 17
MM, 187, 7, 15
MM, 185, 8, 17
MM, 184, 8, 15
MM, 184, 9, 25
MM, 183, 9, 24
MM, 182, 9, 15
MM, 179, 11, 16
MM, 177, 11, 9
MM, 177, 12, 23
MM, 176, 12, 16
MM, 174, 13, 81
MM, 169, 16, 15
MM, 166, 17, 17
MM, 166, 18, 319
MC, 1, 121
MM, 164, 18, 199
MM, 152, 16, 25
MM, 123, 10, 23
MM, 101, 2, 32
MM, 97, 1, 32
MM, 29, 31, 161
MM, 24, 31, 16
MM, 20, 29, 24
MM, 16, 28, 16
MM, 11, 26, 24
MM, 9, 25, 24
MM, 8, 25, 16
MM, 6, 24, 24
MM, 2, 23, 25
MM, 0, 21, 15
MM, 43, 19, 152
MM, 41, 18, 24
MM, 40, 18, 8
MM, 38, 17, 32
MM, 37, 17, 8
MM, 34, 17, 32
MM, 32, 16, 16
MM, 27, 14, 16
MC, 1, 256
MM, 26, 14, 175
MM, 23, 13, 17
MM, 6, 8, 23
MM, 28, 2, 25
MM, 37, 31, 312
MM, 36, 31, 16
MM, 34, 28, 32
MM, 32, 27, 9
MM, 30, 24, 23
MM, 29, 23, 15
MM, 28, 22, 73
MM, 27, 21, 16
MM, 26, 21, 24
MC, 1, 184
MM, 27, 21, 168
MM, 30, 22, 16
MM, 33, 22, 8
MM, 40, 24, 16
MM, 2, 27, 16
MM, 22, 29, 24
MM, 33, 30, 16
MM, 43, 30, 15
MM, 5, 30, 16
MM, 24, 0, 216
MM, 25, 0, 16
MM, 26, 1, 17
MM, 27, 2, 7
MM, 28, 3, 24
MM, 29, 3, 8
MM, 30, 3, 40
MM, 34, 5, 17
MM, 37, 7, 16
MM, 40, 9, 23
MM, 43, 10, 25
MM, 0, 11, 87
MM, 4, 11, 16
MM, 5, 11, 9
MM, 6, 11, 40
MM, 7, 11, 24
MM, 11, 11, 23
MM, 12, 11, 32
MC, 1, 329
MM, 12, 12, 536
MM, 11, 15, 24
MM, 10, 19, 33
MM, 9, 22, 23
MM, 8, 23, 25
MM, 8, 24, 23
MM, 7, 26, 16
MM, 6, 28, 25
MM, 4, 29, 23
MM, 4, 31, 32
MM, 135, 0, 152
MM, 134, 0, 16
MM, 133, 1, 24
MM, 130, 3, 41
MM, 129, 4, 23
MM, 127, 6, 32
MM, 125, 9, 24
MM, 123, 12, 24
MM, 122, 14, 16
MM, 120, 17, 40
MM, 119, 18, 17
MM, 119, 19, 15
MM, 118, 22, 32
MM, 118, 23, 16
MM, 117, 23, 32
MM, 117, 24, 96
MC, 1, 120
MM, 117, 23, 63
MM, 115, 22, 16
MM, 112, 18, 41
MM, 106, 14, 32
MM, 90, 7, 40
MM, 74, 2, 27
MM, 6, 31, 46
MM, 43, 19, 63
MM, 41, 12, 32
MM, 38, 4, 24
MM, 31, 30, 48
MM, 31, 26, 16
MM, 30, 25, 41
MM, 29, 21, 39
MM, 27, 16, 32
MM, 26, 14, 16
MC, 1, 200
MM, 27, 11, 104
MC, 1, 425
MM, 1, 0, 279
MM, 40, 3, 32
MM, 32, 5, 32
MM, 25, 5, 25
MM, 43, 8, 40
MM, 18, 9, 31
MC, 1, 560
MM, 20, 8, 96
MM, 28, 3, 25
MC, 1, 391
MM, 26, 0, 200
MM, 2, 21, 40
MM, 13, 28, 24
MM, 30, 2, 40
MM, 2, 19, 32
MM, 62, 0, 119
MM, 68, 10, 33
MM, 72, 16, 24
MM, 74, 20, 24
MM, 76, 26, 23
MM, 79, 34, 25
MM, 81, 36, 24
MC, 1, 248
MM, 78, 31, 56
MM, 77, 30, 31
MM, 75, 26, 32
MM, 72, 25, 33
MM, 69, 22, 25
MM, 62, 18, 32
MM, 50, 14, 32
MM, 34, 9, 32
MM, 12, 2, 32
MM, 42, 30, 55
MM, 31, 25, 32
MM, 23, 21, 25
MM, 5, 10, 32
MM, 37, 0, 23
MM, 25, 31, 80
MM, 19, 27, 32
MM, 15, 22, 32
MM, 12, 18, 25
MM, 12, 17, 16
MC, 1, 263
MM, 13, 17, 64
MM, 15, 17, 24
MM, 20, 19, 32
MM, 27, 22, 24
MM, 18, 2, 72
MM, 4, 18, 32
MM, 25, 27, 32
MM, 35, 30, 24
MM, 53, 0, 58
MM, 68, 6, 30
MM, 70, 7, 16
MM, 71, 7, 48
MM, 72, 8, 32
MM, 74, 11, 16
MM, 80, 16, 24
MM, 80, 17, 17
MM, 81, 17, 24
MM, 81, 18, 23
MM, 81, 19, 56
MC, 1, 255
MM, 81, 18, 72
MM, 81, 17, 16
MM, 83, 13, 24
MM, 91, 8, 24
MM, 98, 3, 16
MM, 27, 30, 73
MM, 33, 27, 24
MM, 37, 23, 24
MM, 43, 20, 24
MM, 2, 16, 16
MM, 27, 25, 57
MM, 4, 16, 32
MM, 5, 15, 7
MM, 6, 15, 72
MM, 7, 15, 40
MM, 9, 15, 24
MM, 10, 15, 16
MM, 16, 15, 24
MM, 31, 15, 16
MM, 41, 15, 16
MM, 43, 15, 16
MM, 1, 15, 47
MM, 2, 15, 17
MM, 3, 15, 312
MM, 5, 15, 48
MM, 6, 15, 23
MC, 1, 224
MM, 5, 14, 25
MM, 4, 14, 7
MM, 3, 13, 32
MM, 2, 13, 8
MM, 42, 10, 81
MM, 39, 9, 15
MM, 34, 6, 17
MM, 28, 3, 23
MM, 25, 1, 17
MM, 29, 31, 47
MM, 28, 28, 16
MM, 27, 27, 9
MM, 25, 23, 16
MM, 24, 21, 16
MM, 24, 18, 16
MM, 23, 17, 8
MM, 23, 14, 16
MM, 22, 13, 8
MM, 22, 12, 16
MM, 22, 11, 16
MC, 1, 263
MM, 22, 12, 113
MM, 20, 16, 16
MM, 18, 22, 25
MM, 12, 31, 23
MM, 40, 15, 32
MM, 28, 0, 128
MM, 24, 2, 32
MM, 20, 3, 16
MM, 7, 6, 24
MM, 41, 9, 56
MM, 39, 9, 9
MM, 37, 9, 39
MM, 33, 9, 32
MM, 30, 9, 40
MM, 28, 9, 16
MM, 26, 9, 344
MM, 25, 9, 23
MM, 24, 9, 33
MM, 22, 7, 23
MM, 15, 4, 25
MM, 31, 30, 65
MM, 20, 28, 23
MM, 10, 25, 39
MM, 6, 24, 24
MM, 3, 23, 17
MM, 34, 14, 25
MC, 1, 679
MM, 38, 4, 168
MM, 3, 27, 24
MM, 11, 4, 24
MM, 20, 19, 32
MM, 25, 30, 24
MM, 70, 1, 32
MM, 73, 7, 41
MM, 74, 11, 23
MM, 75, 13, 32
MM, 78, 19, 32
MM, 79, 24, 25
MM, 79, 26, 7
MC, 1, 312
MM, 79, 23, 24
MM, 78, 10, 32
MM, 78, 1, 32
MM, 38, 26, 24
MM, 39, 4, 32
MM, 41, 31, 32
MM, 0, 0, 80
MC, 1, 423
MM, 41, 1, 217
MM, 43, 1, 24
MM, 43, 2, 16
MM, 45, 3, 32
MM, 0, 8, 56
MM, 2, 9, 16
MM, 3, 9, 23
MM, 4, 9, 41
MM, 6, 10, 24
MM, 6, 11, 16
MM, 6, 11, 296
MM, 3, 11, 24
MM, 46, 11, 32
MM, 27, 11, 25
MM, 4, 12, 23
MM, 32, 13, 24
MM, 12, 14, 32
MM, 41, 14, 39
MM, 25, 14, 41
MM, 16, 14, 24
MM, 14, 14, 24
MM, 7, 14, 32
MM, 42, 14, 31
MM, 20, 13, 25
MM, 37, 13, 24
MM, 18, 13, 23
MM, 17, 13, 112
MC, 1, 313
MM, 19, 13, 104
MM, 34, 10, 24
MM, 5, 6, 24
MM, 38, 3, 24
MM, 14, 1, 24
MM, 31, 0, 32
MM, 41, 0, 24
MM, 5, 0, 32
MM, 10, 0, 16
MM, 13, 0, 33
MM, 0, 3, 848
MM, 86, 3, 103
MM, 85, 16, 32
MM, 85, 20, 24
MM, 85, 22, 17
MM, 85, 25, 47
MM, 85, 31, 16
MM, 85, 35, 23
MM, 84, 35, 193
MM, 84, 34, 72
MC, 1, 175
MM, 84, 32, 25
MM, 84, 25, 32
MM, 84, 21, 25
MM, 85, 18, 15
MM, 89, 10, 23
MM, 13, 26, 41
MM, 9, 2, 39
MM, 0, 24, 25
MM, 19, 15, 32
MM, 19, 13, 24
MM, 23, 6, 40
MM, 25, 2, 32
MM, 42, 31, 48
MM, 42, 27, 24
MM, 43, 27, 80
MM, 0, 27, 120
MM, 1, 27, 103
MC, 1, 289
MM, 43, 27, 72
MM, 33, 27, 24
MM, 16, 30, 24
MM, 18, 1, 40
MM, 42, 9, 32
MM, 14, 15, 32
MM, 5, 16, 24
MM, 43, 18, 64
MM, 34, 19, 23
MM, 12, 19, 32
MM, 11, 19, 9
MM, 8, 19, 39
MM, 40, 15, 49
MM, 34, 13, 24
MM, 32, 13, 16
MM, 26, 11, 49
MM, 19, 10, 39
MM, 16, 8, 16
MM, 10, 8, 25
MM, 41, 7, 23
MM, 40, 7, 32
MM, 39, 7, 48
MM, 38, 7, 9
MM, 37, 7, 64
MC, 1, 288
MM, 40, 8, 111
MM, 1, 21, 32
MM, 11, 30, 24
MM, 22, 2, 24
MM, 37, 18, 24
MM, 42, 1, 41
MM, 47, 11, 39
MM, 48, 11, 24
MM, 48, 12, 16
MM, 49, 14, 65
MM, 51, 17, 23
MM, 52, 17, 144
MM, 52, 18, 16
MC, 1, 104
MM, 52, 17, 40
MM, 52, 9, 32
MM, 13, 31, 41
MM, 18, 14, 22
MM, 26, 1, 33
MM, 33, 31, 24
MM, 1, 14, 31
MC, 1, 665
MM, 1, 29, 144
MM, 0, 3, 57
MM, 2, 5, 23
MM, 2, 6, 144
MM, 4, 6, 208
MM, 8, 6, 25
MM, 10, 6, 32
MM, 18, 4, 31
MM, 4, 31, 72
MM, 5, 31, 25
MM, 7, 29, 39
MM, 14, 27, 32
MM, 25, 24, 25
MM, 37, 23, 33
MM, 38, 23, 86
MM, 40, 23, 24
MM, 41, 23, 33
MM, 42, 22, 32
MM, 1, 20, 39
MM, 2, 20, 63
MM, 3, 20, 73
MM, 4, 20, 15
MM, 5, 20, 40
MC, 1, 145
MM, 4, 20, 47
MM, 2, 20, 24
MM, 1, 19, 25
MM, 43, 19, 73
MM, 34, 19, 23
MM, 17, 20, 32
MM, 42, 22, 57
MM, 28, 22, 31
MM, 9, 22, 31
MC, 1, 616
MC, 1, 505
MM, 2, 14, 184
MM, 13, 14, 32
MM, 17, 14, 25
MM, 18, 14, 71
MC, 1, 160
MM, 18, 16, 88
MM, 3, 4, 32
MM, 3, 3, 40
MM, 3, 17, 32
MM, 2, 22, 24
MM, 141, 0, 39
MM, 140, 8, 26
MM, 140, 13, 22
MM, 140, 15, 9
MM, 140, 16, 40
MM, 138, 16, 272
MM, 137, 15, 32
MM, 136, 14, 16
MM, 134, 11, 24
MM, 130, 7, 32
MM, 123, 1, 24
MM, 18, 29, 39
MM, 7, 19, 33
MM, 3, 16, 16
MM, 43, 4, 80
MM, 42, 3, 23
MM, 39, 0, 33
MM, 33, 31, 71
MM, 32, 29, 17
MM, 29, 23, 23
MM, 28, 21, 25
MM, 27, 18, 23
MM, 25, 13, 33
MM, 23, 10, 25
MM, 23, 9, 7
MC, 1, 217
MM, 24, 9, 96
MM, 33, 9, 23
MM, 0, 7, 24
MM, 40, 3, 33
MM, 1, 1, 23
MM, 8, 30, 96
MM, 15, 29, 24
MM, 20, 27, 33
MM, 30, 24, 23
MM, 43, 21, 16
MM, 2, 19, 25
MM, 3, 19, 39
MM, 4, 19, 24
MM, 7, 18, 24
MM, 8, 18, 72
MC, 1, 225
MM, 7, 18, 55
MM, 5, 18, 24
MM, 43, 23, 32
MM, 5, 1, 40
MM, 34, 14, 31
MM, 39, 4, 81
MM, 26, 10, 15
MM, 2, 19, 49
MM, 43, 21, 32
MM, 35, 22, 24
MM, 31, 22, 16
MM, 30, 22, 16
MM, 29, 22, 33
MM, 28, 22, 32
MM, 26, 22, 7
MM, 24, 22, 32
MM, 22, 22, 32
MC, 1, 256
MM, 21, 21, 48
MM, 20, 15, 16
MM, 14, 0, 32
MM, 9, 22, 25
MM, 2, 8, 38
MM, 0, 6, 25
MC, 1, 577
MM, 39, 4, 151
MM, 8, 5, 32
MM, 66, 4, 40
MM, 76, 20, 56
MM, 79, 24, 32
MM, 83, 24, 384
MM, 99, 18, 25
MM, 117, 12, 23
MM, 126, 10, 25
MM, 138, 5, 32
MM, 34, 31, 119
MM, 38, 28, 32
MM, 40, 27, 25
MM, 41, 27, 16
MM, 42, 26, 48
MM, 0, 21, 64
MM, 2, 20, 16
MM, 6, 18, 31
MM, 8, 18, 33
MM, 12, 18, 25
MM, 16, 18, 40
MC, 1, 223
MM, 16, 15, 23
MM, 16, 10, 32
MM, 16, 1, 33
MM, 16, 30, 23
MM, 19, 24, 24
MM, 22, 15, 32
MM, 28, 5, 32
MM, 30, 1, 24
MM, 1, 25, 56
MM, 6, 18, 16
MM, 7, 18, 40
MM, 7, 17, 39
MM, 8, 17, 90
MM, 9, 17, 79
MM, 11, 18, 240
MM, 12, 18, 16
MM, 13, 19, 8
MM, 17, 21, 32
MM, 20, 23, 40
MM, 21, 23, 16
MM, 22, 23, 8
MM, 25, 25, 24
MM, 26, 26, 17
MM, 29, 27, 31
MM, 30, 28, 24
MM, 33, 31, 24
MM, 34, 31, 8
MM, 36, 0, 167
MM, 37, 0, 17
MM, 38, 0, 63
MM, 39, 1, 40
MM, 41, 1, 16
MM, 43, 3, 17
